,asin,initiation_date
0,B0000CEQD5,2014-08-19
1,B0005YLO6U,2015-01-26
2,B00060N592,2014-08-19
3,B000FEDHS8,2012-05-29
4,B000H23Z1C,2014-12-18
5,B000H2998U,2014-12-18
6,B000LKYX48,2013-03-01
7,B000PXZZQG,2015-03-17
8,B0012690UC,2015-01-29
9,B001HTE0J0,2014-04-02
10,B001HTJ2BQ,2014-12-26
11,B001KPB2RY,2013-01-19
12,B0027YUN9K,2015-01-22
13,B0028MFES6,2012-09-24
14,B0028MZ8S2,2012-09-24
15,B002HTMAXM,2015-03-22
16,B002HTMEPQ,2015-03-22
17,B002HTOCRE,2015-03-22
18,B003HASJ6W,2014-12-01
19,B003O36S9W,2013-02-21
20,B003T07T7U,2015-03-12
21,B00449CWMC,2012-09-24
22,B00451XODA,2015-03-12
23,B0046IIIS8,2014-08-19
24,B0046IKGKQ,2014-08-19
25,B00555H0LC,2013-08-16
26,B005TY2046,2015-08-28
27,B0067F1T48,2012-10-05
28,B0069A8X2C,2012-09-24
29,B006R7F0PU,2013-08-16
30,B006U2ZDAE,2011-04-19
31,B006U3BEEW,2011-04-19
32,B006U3ETB2,2011-04-19
33,B007WP3J8G,2015-01-23
34,B008QPAH40,2013-02-21
35,B00B03WZIQ,2012-10-20
36,B00BKXGX5W,2014-10-10
37,B00CPJB9OA,2012-09-24
38,B00CQABEQG,2015-11-04
39,B00KRFLDR2,2015-03-21
40,B00KRFLH8C,2015-03-21
41,B00B0476HA,2013-10-29
42,B00HKIBDYC,2013-11-15
43,B004FUHGWQ,2015-12-09
44,B001HTIVX6,2015-12-09
45,B00HMUISSW,2012-12-31
46,B000DZDJ0K,2013-01-19
47,B00CTJ2710,2013-01-19
48,B00FIWCUOO,2014-01-30
49,B0028MDH30,2015-01-14
50,B004V6A9SC,2014-02-18
51,B004OEYC3Y,2016-01-31
52,B00CFQNVC6,2013-02-15
53,B00G6KGXAE,2013-02-27
54,B00EN0ZLK2,2016-02-16
55,B0029JX426,2015-03-06
56,B00FF0SBX8,2016-03-09
57,B0042DIZIU,2016-03-09
58,B00CK7SZN0,2016-03-09
59,B004HZFASG,2016-03-09
60,B00DB55FVA,2016-03-09
61,B00IVT3ZHW,2016-04-08
62,B000FDCVOK,2015-01-29
63,B006DVPZSW,2015-01-29
64,B001M073SO,2015-01-26
65,B001GVISNS,2015-01-26
66,B008BRLNAA,2015-01-26
67,B0005YWXQU,2015-01-26
68,B000HQKO1W,2015-01-26
69,B005L9175C,2015-01-26
70,B001VNGMDE,2015-03-16
71,B000UYC3CO,2015-03-16
72,B001VNO3B2,2015-03-16
73,B00CHTYN64,2015-03-16
74,B0052P1PPW,2015-03-16
75,B000UYC36U,2015-03-16
76,B001XWN3IA,2015-03-16
77,B000WR8UDU,2015-03-16
78,B009OAIWMA,2015-03-16
79,B000LKU8A6,2015-03-16
80,B00F99HMTE,2015-03-16
81,B000LKXOKC,2015-03-16
82,B000LKZI2O,2015-03-16
83,B000LKZI1U,2015-03-16
84,B000LKU874,2015-03-16
85,B0052P1PBQ,2015-03-16
86,B009OAJ4UE,2015-03-16
87,B000WS042E,2015-03-16
88,B000VK4F00,2015-03-16
89,B000FEH73E,2012-05-29
90,B000FEDHXI,2012-05-29
91,B0017T6RZK,2015-01-09
92,B0083GG2SC,2015-06-05
93,B008N1LT94,2014-03-27
94,B004WZ4EWE,2014-03-27
95,B00G5MG7OU,2014-03-27
96,B004WZ4FEQ,2014-03-27
97,B006JGHMX2,2013-06-14
98,B00CVY459K,2013-06-12
99,B00651OEHS,2013-06-12
100,B003TVO3BE,2014-07-21
101,B0036FB6FY,2013-04-26
102,B001BF5KVW,2012-08-08
103,B000B8PZAQ,2015-08-07
104,B000B8SR8I,2015-08-07
105,B00FDM5UVY,2014-09-08
106,B00CXYIS1Y,2013-09-06
107,B006WX7Z7U,2015-09-17
108,B006R21JQE,2012-09-27
109,B00BTKZP96,2015-10-05
110,B00BLZUP9E,2014-09-26
111,B002GVK07O,2013-09-05
112,B00HRIDJL0,2012-09-24
113,B005KDP4FI,2012-09-24
114,B00AX89ODS,2012-09-24
115,B00B05XYTI,2012-09-26
116,B00868Y8TM,2012-09-26
117,B004F4GH5E,2012-09-26
118,B005M4AM5M,2012-09-26
119,B005Z0TMCM,2012-09-26
120,B00032CV8O,2015-02-13
121,B0011DHFE4,2014-09-19
122,B00ARHGO88,2012-09-18
123,B001V74HAK,2012-10-02
124,B00B044BNW,2012-10-02
125,B001G7FMLS,2012-10-02
126,B004DEDZ2E,2012-10-02
127,B000CS9ZUG,2012-10-02
128,B000CSCP1C,2012-10-02
129,B0081RNC4A,2012-10-02
130,B0036WC6QA,2014-08-27
131,B000Q61NYA,2014-08-27
132,B003FCZOPQ,2012-10-02
133,B000HDJZWO,2015-08-28
134,B0001VU7TC,2013-09-09
135,B0019LWITA,2014-11-14
136,B005MHRE14,2013-11-08
137,B007WP3WOW,2013-11-08
138,B0073O797I,2013-11-08
139,B005MHRB7G,2013-11-08
140,B005MHRF86,2013-11-08
141,B00886PPFS,2013-11-08
142,B00E0C685A,2013-11-08
143,B0059HMM3M,2012-11-16
144,B00DETOTNI,2012-10-10
145,B008XDLLLS,2014-10-27
146,B0000537KC,2009-02-04
147,B00028PVHW,2010-03-25
148,B00028QD2Y,2010-03-25
149,B0002DI23C,2009-02-13
150,B0007LXU0E,2009-02-02
151,B0007LXU0Y,2009-02-02
152,B000F6SLM8,2009-02-13
153,B000G1EO64,2011-10-10
154,B000IEHQV4,2009-04-30
155,B000LKYXUC,2010-03-25
156,B000LL0R92,2010-03-18
157,B000UCOQV2,2012-10-25
158,B000UUWECC,2011-03-11
159,B000Z8Z6W4,2010-03-25
160,B001BKRC6S,2010-03-25
161,B001DGYKG0,2013-03-28
162,B001E4Q5WI,2011-03-04
163,B001EO5YCA,2009-03-02
164,B001EQ4GOA,2009-04-01
165,B001HTGAQQ,2009-03-04
166,B001HTGAUM,2009-03-02
167,B001HTL5E8,2013-03-28
168,B001HTN41A,2013-03-28
169,B001KWGSEY,2009-01-23
170,B001SAOB42,2009-02-14
171,B002ATEFMI,2009-03-13
172,B002DHOVPS,2010-06-25
173,B002LO5SFA,2010-03-25
174,B0030VBPN2,2010-01-13
175,B0030VBQGS,2010-01-13
176,B0030VBQOK,2010-01-13
177,B0030VJ79Q,2010-01-13
178,B0035HCRRY,2009-04-02
179,B0036ADF2G,2010-01-13
180,B003BHA6PI,2011-02-08
181,B003D54TEW,2010-03-08
182,B003XB5LMU,2011-08-12
183,B003YCJE2Q,2009-04-01
184,B0040HASFQ,2011-09-30
185,B0041Q7GDI,2010-03-25
186,B00474CIGY,2009-07-02
187,B00495RQNG,2011-04-15
188,B004M8DPQW,2010-03-25
189,B004NQWALO,2010-03-25
190,B004UB6YLO,2010-03-25
191,B004YLD7LA,2009-04-06
192,B004YLD7SS,2009-04-06
193,B005MYWWN2,2015-03-17
194,B005P0G0YU,2010-03-25
195,B005P0XO26,2010-03-25
196,B005PGP2B6,2010-03-09
197,B007MEXS7E,2009-02-03
198,B00832T6MA,2011-11-16
199,B0087ENBHU,2012-01-23
200,B0087ENBS4,2012-01-23
201,B008QR77KU,2010-03-02
202,B008YAYWLQ,2010-03-17
203,B009ORZGUE,2010-03-19
204,B00B1F3YLA,2009-01-30
205,B00CA5S4K6,2012-10-12
206,B00DOR2AQ8,2010-06-25
207,B00DPE21ZU,2010-03-17
